transaction_hash,sender_address,receiver_address,amount_eth,timestamp,gas_used,gas_price,block_number,gas_cost_eth,date,hour,day_of_week,month,is_standard_stake
0x5b5a4c682684b6f1a58f9d10358cf0333aec6e6679a7f03ed05ddf4e643a5845,0xe06384cf90722e2a40dd95a7fcdefcfb3ed78fbf,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50450,1594593071,21997866,8.044722043195e-05,2025-03-07,22,Friday,March,True
0x9850cb2f1a81d195d902c199a39756dd27e82159fc9ad78a5f5c6f451cf128c6,0x32100bffe78f2297962393abd99be8c062a11a55,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,71297,1594593071,21997866,0.000113689702183087,2025-03-07,22,Friday,March,True
0x2eeafed63cdcc1355eb2bf3e407222c5c16fa86f7821f98e180dcedaf39db943,0x759d06bae8f2f48dcf5bb7eeafcc5d82d184dc4a,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50426,1594593071,21997866,8.0408950198246e-05,2025-03-07,22,Friday,March,True
0x2c15c4310751a2c8755089fde07217792079a4ec403ee76cb169c4b08ef7dac9,0xca181400540a87218490a3b7663f87b00756db96,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53438,1594593071,21997866,8.5211864528098e-05,2025-03-07,22,Friday,March,True
0x2239cf03bf5842c57bbd85fc76812e35f4a1c4b032a1a939d9b41978ec2580ec,0x0bb3766268a63249be1a140788c983abf870100d,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xbbf05d6b04647de86c7c816ac29d5bd9ec6635d665f08bdb827ce49ecb8fa699,0xbf202f273e46ce5a9af4e78a90dbc55b1850fda9,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,56414,1594593071,21997866,8.9957373507394e-05,2025-03-07,22,Friday,March,True
0x488afc7f32d683f2bdd8bf530e8eff57343f1156d72503514cc7bdee9af67ce1,0xb6296fae64d4bab265c191a5bdc2ad6b8d63817d,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xe7e5b68b3156304bad3006ae01e89928402471341d51f40a928aaabd9536498e,0xd93c6dee377d72c135c5db9824fcb588c0250407,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,53402,1594593071,21997866,8.5154459177542e-05,2025-03-07,22,Friday,March,True
0x8f4cd7ac5c22cbf917b7c78f58bd45f7f27cad16c938138a02be863ac019a37f,0xba54f1b61669e80029cb8714313b2624ebe2bc09,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,50462,1594593071,21997866,8.0466355548802e-05,2025-03-07,22,Friday,March,True
0xb46bb24ccdf7c56bec02e0fa61a882188e15394ff8f63337607cca1069adf544,0xc43286f51512628d980e24a1fc50345e86eccbb7,0x00000000219ab540356cbb839cbe05303d7705fa,32.0,2025-03-07 22:05:11,59391,1594593071,21997866,9.4704477079761e-05,2025-03-07,22,Friday,March,True
